id,性别,民族,年龄,学历,在职离职,工作经验,服务范围,评价,金额,服务类型
173,2,0,50,0,0,2.8,4,3.28,0.34,1
176,2,0,44,2,0,6.4,2,2.48,0.18,1
179,2,0,60,0,0,0.6,3,3.52,0.46,1
181,2,0,52,3,0,1.6,0,3.18,0.34,1
183,2,0,55,0,0,5.5,3,4.91,0.2,1
184,2,0,51,0,0,10.0,3,2.63,0.12,1
185,2,0,55,0,0,4.6,3,3.54,0.18,1
186,2,0,53,0,0,7.9,3,4.46,0.26,1
187,2,0,52,0,0,8.5,3,3.2,0.24,1
188,2,0,66,0,0,1.0,3,3.48,0.29,1
189,2,0,63,0,0,5.2,3,3.26,0.18,1
190,2,0,53,2,0,9.7,0,2.61,0.26,1
191,2,0,46,2,0,4.8,0,2.39,0.26,1
194,2,0,59,2,0,6.3,7,4.71,0.24,1
195,2,0,44,2,0,5.2,7,3.47,0.24,1
196,2,0,48,1,0,1.7,7,1.63,0.28,1
197,2,0,47,1,0,2.3,7,3.94,0.24,1
198,2,0,57,2,0,0.9,2,4.08,0.28,1
199,2,0,50,2,0,0.4,7,4.77,0.24,1
200,2,0,51,1,0,2.4,7,1.95,0.24,1
201,2,0,55,2,0,3.2,2,4.65,0.28,1
204,2,0,52,2,0,0.1,2,4.39,0.32,1
205,2,0,52,3,0,5.1,1,2.82,0.25,1
206,2,0,45,3,0,2.3,1,4.79,0.3,1
207,2,0,60,2,0,3.9,2,3.69,0.28,1
208,2,0,43,0,0,5.2,1,2.0,0.18,1
209,2,0,56,0,0,5.9,4,2.02,0.14,1
210,2,0,50,0,0,8.4,4,1.54,0.28,1
212,2,0,56,0,0,7.3,0,3.49,0.24,1
213,2,0,54,0,0,8.5,7,4.7,0.14,1
214,2,0,53,0,0,2.4,7,3.69,0.14,1
215,2,0,56,0,0,8.7,4,3.25,0.24,1
216,2,0,53,0,0,4.9,4,4.81,0.14,1
217,2,0,44,0,0,2.9,5,3.54,0.24,1
218,2,0,46,3,0,9.1,2,1.5,0.32,1
219,2,0,53,0,0,7.0,4,1.0,0.24,1
220,2,0,56,0,0,5.5,7,4.0,0.38,1
221,2,0,35,0,0,7.4,4,4.42,0.24,1
222,2,0,50,3,0,3.0,9,2.3,0.26,1
223,2,0,51,0,0,6.2,5,1.44,0.14,1
224,2,0,56,0,0,0.2,7,3.05,0.24,1
225,2,0,40,0,0,6.7,7,1.16,0.24,1
226,2,0,55,0,0,8.7,3,4.99,0.22,1
227,2,0,55,0,0,9.5,7,4.17,0.14,1
228,2,0,51,0,0,7.2,7,2.39,0.22,1
229,2,0,60,0,0,9.3,11,2.83,0.22,1
230,2,0,59,0,0,1.6,7,3.87,0.24,1
231,2,0,52,0,0,0.4,7,2.72,0.24,1
232,2,0,55,2,0,0.9,4,2.41,0.24,1
233,2,0,52,3,0,4.3,2,1.61,0.28,1
235,2,0,45,3,0,2.9,2,2.46,0.24,1
236,2,0,35,3,0,9.9,1,2.09,0.24,1
240,2,0,53,2,0,9.8,7,3.67,0.24,1
241,2,0,55,2,0,2.0,5,2.7,0.28,1
242,2,0,37,2,0,5.2,6,4.04,0.24,1
243,2,0,48,2,0,1.5,7,3.02,0.28,1
244,2,0,59,2,0,9.1,2,3.51,0.28,1
245,2,0,58,2,0,7.1,2,4.06,0.24,1
246,2,0,53,2,0,3.8,2,3.29,0.24,1
247,2,0,57,2,0,3.8,7,2.82,0.24,1
248,2,0,54,2,0,8.7,7,1.21,0.28,1
249,2,0,54,2,0,8.0,7,3.02,0.24,1
250,2,0,53,2,0,0.7,7,2.18,0.24,1
251,2,0,59,2,0,5.4,2,2.65,0.28,1
252,2,0,58,2,0,1.1,2,3.82,0.24,1
253,2,0,50,1,0,5.9,2,1.72,0.24,1
257,2,0,49,3,0,5.8,2,3.54,0.26,1
278,2,0,50,2,0,4.8,2,3.04,0.14,1
279,2,0,49,3,0,7.8,2,1.35,0.23,1
280,2,0,34,2,0,4.8,2,1.15,0.23,1
281,2,0,45,3,0,3.8,2,2.66,0.32,1
282,2,0,44,3,0,2.1,2,2.16,0.28,1
283,2,0,42,4,0,9.4,2,3.2,0.34,1
284,2,0,40,2,0,4.1,2,3.82,0.46,1
285,2,0,53,3,1,7.3,2,3.1,0.36,1
286,2,0,45,2,0,8.1,2,4.89,0.32,1
287,2,0,54,2,0,4.2,2,2.6,0.26,1
288,2,0,51,4,0,5.8,2,4.18,0.29,1
289,2,0,44,4,0,1.9,2,3.24,0.3,1
290,2,0,49,3,0,5.2,6,1.04,0.25,1
291,2,0,36,4,0,4.5,2,1.7,0.2,1
292,2,0,52,3,0,5.9,2,1.27,0.2,1
293,2,0,54,2,0,9.6,2,4.43,0.29,1
294,2,0,55,0,0,9.2,2,2.85,0.2,1
295,2,0,41,2,0,0.5,2,4.24,0.46,1
296,2,0,50,2,0,3.8,2,1.49,0.25,1
297,2,0,47,3,0,3.9,2,3.66,0.18,1
298,2,0,51,2,0,4.2,2,2.59,0.29,1
299,2,0,48,2,0,9.3,2,4.92,0.14,1
301,2,0,55,0,0,7.7,4,3.96,0.24,1
302,1,0,60,0,0,1.7,6,4.01,0.32,1
303,2,0,49,0,0,8.8,6,4.4,0.38,1
304,2,0,55,0,0,6.0,2,3.02,0.32,1
305,2,0,44,0,0,4.0,7,4.29,0.28,1
306,2,0,55,0,0,3.4,5,3.57,0.32,1
307,2,0,56,0,0,7.3,5,3.14,0.24,1
308,2,0,60,0,0,1.7,4,2.47,0.24,1
309,2,0,36,0,0,8.8,4,3.74,0.22,1
310,2,0,43,2,0,2.1,4,1.49,0.18,1
311,2,0,60,1,0,4.7,11,3.31,0.28,1
312,2,0,38,1,0,6.9,4,1.7,0.24,1
313,2,0,54,2,0,3.0,4,4.26,0.28,1
314,2,0,55,2,0,3.3,11,1.75,0.28,1
315,2,0,56,0,0,0.2,4,1.28,0.24,1
316,2,0,54,2,0,8.9,11,3.02,0.24,1
317,2,0,50,0,0,9.2,4,1.54,0.24,1
318,2,0,52,2,0,9.1,4,4.78,0.24,1
319,2,0,54,0,0,2.5,5,2.82,0.28,1
320,2,0,45,2,0,0.7,11,1.48,0.28,1
322,2,0,63,2,0,0.4,4,1.94,0.24,1
324,2,0,52,2,0,0.7,4,2.09,0.24,1
325,2,0,60,0,0,8.7,11,4.9,0.24,1
326,2,0,55,2,0,2.8,4,3.49,0.24,1
327,2,0,58,0,0,3.2,5,1.11,0.24,1
328,2,0,50,2,0,2.8,11,2.13,0.28,1
329,2,0,52,2,0,6.6,11,3.45,0.24,1
330,2,0,62,0,0,9.3,4,1.79,0.22,1
331,2,0,51,2,0,1.5,11,2.75,0.24,1
332,2,0,46,0,0,0.8,4,4.33,0.18,1
333,2,0,50,2,0,1.1,11,2.85,0.28,1
336,2,0,48,0,0,5.4,4,3.24,0.24,1
338,2,0,55,0,0,9.0,5,4.49,0.26,1
339,2,0,49,2,0,5.6,11,2.23,0.28,1
341,2,0,52,2,0,0.9,11,1.92,0.29,1
342,2,0,48,2,0,2.8,11,3.95,0.29,1
343,2,0,55,3,0,2.1,4,4.98,0.24,1
349,2,0,48,0,0,2.7,11,4.9,0.28,1
350,1,0,24,3,0,7.9,7,3.89,0.17,1
351,2,0,59,2,0,4.5,4,4.44,0.24,1
352,2,0,50,3,0,6.1,11,4.14,0.22,1
353,2,0,53,0,0,2.3,3,4.79,0.14,1
354,2,0,55,0,0,5.5,3,2.78,0.14,1
355,2,0,58,0,0,4.9,3,2.65,0.26,1
356,2,0,57,0,0,9.3,4,4.39,0.22,1
357,2,0,56,0,0,2.0,11,2.54,0.22,1
358,2,0,57,0,0,0.6,11,2.74,0.22,1
359,2,0,57,3,0,4.1,4,3.66,0.22,1
360,2,0,48,0,0,1.6,5,2.87,0.14,1
361,2,0,48,0,0,5.6,4,3.42,0.22,1
362,2,0,52,3,0,8.6,5,3.14,0.22,1
363,2,0,48,0,0,5.0,3,2.37,0.3,1
364,2,0,52,3,0,9.5,4,2.11,0.26,1
365,2,0,58,2,0,1.3,4,3.72,0.22,1
367,2,0,57,3,0,2.6,5,3.59,0.22,1
368,2,0,53,2,0,3.7,5,2.12,0.26,1
369,2,0,57,0,0,5.6,3,2.11,0.14,1
370,2,0,64,0,0,6.6,11,1.45,0.26,1
371,2,0,57,3,0,0.5,3,2.85,0.14,1
372,2,0,60,2,0,4.3,11,2.17,0.22,1
373,2,0,49,2,0,1.3,5,3.01,0.28,1
374,2,0,50,3,0,2.0,11,2.06,0.22,1
375,2,0,52,2,0,8.0,11,2.45,0.22,1
376,2,0,54,2,0,7.8,11,1.62,0.24,1
377,2,0,52,3,0,7.7,4,3.18,0.23,1
381,2,0,54,0,0,2.3,4,4.64,0.26,1
382,2,0,60,0,0,9.6,1,1.92,0.22,1
384,2,0,48,3,0,2.6,1,4.9,0.38,1
385,2,0,49,2,0,0.2,1,5.0,0.42,1
387,2,0,48,2,0,3.8,1,1.13,0.24,1
388,2,0,42,3,0,5.8,0,2.63,0.26,1
389,2,0,54,0,0,8.5,4,2.82,0.3,1
390,2,0,43,3,0,6.0,2,3.04,0.34,1
392,2,0,52,0,0,5.0,2,1.08,0.38,1
394,2,0,42,2,0,1.4,4,1.29,0.3,1
395,2,0,48,2,0,0.6,11,3.02,0.3,1
396,2,0,54,2,0,0.8,4,4.11,0.22,1
397,2,0,47,3,0,9.5,2,3.87,0.42,1
398,2,0,48,2,0,7.2,2,4.19,0.38,1
399,2,0,50,2,0,6.6,2,4.2,0.36,1
400,2,0,49,2,0,4.0,2,4.32,0.24,1
401,2,0,48,3,0,4.6,2,2.55,0.14,1
402,2,0,48,2,0,3.9,6,2.04,0.26,1
403,2,0,36,2,0,2.4,2,1.74,0.54,1
404,2,0,54,0,0,8.8,2,4.4,0.46,1
405,2,0,34,3,0,4.9,2,4.09,0.47,1
407,2,0,48,0,0,7.6,4,2.5,0.22,1
408,2,0,50,0,0,4.5,7,3.67,0.22,1
409,2,0,60,2,0,2.1,1,4.85,0.22,1
410,2,0,40,3,0,4.0,6,3.75,0.24,1
411,2,0,54,3,0,1.3,1,2.15,0.2,1
412,2,0,60,2,0,1.4,2,2.82,0.28,1
413,2,0,59,0,0,3.9,2,3.36,0.14,1
414,2,0,55,2,0,9.3,2,2.47,0.26,1
415,2,0,55,0,0,8.3,1,3.89,0.3,1
416,2,0,38,3,0,0.2,2,4.23,0.26,1
417,2,0,46,0,0,8.7,2,2.15,0.22,1
418,2,0,57,0,0,7.1,2,3.28,0.3,1
419,2,0,53,0,0,3.4,2,4.04,0.38,1
420,2,0,47,2,0,1.5,2,1.2,0.38,1
421,2,0,48,3,0,5.6,2,2.63,0.26,1
422,2,0,51,3,0,1.6,7,3.43,0.26,1
423,2,0,52,3,0,9.9,2,1.34,0.38,1
424,2,0,48,2,0,8.2,0,1.51,0.28,1
425,2,0,51,3,0,4.1,13,4.98,0.22,1
427,2,0,39,3,0,5.5,0,4.25,0.38,1
428,2,0,48,2,0,4.6,2,3.13,0.26,1
429,2,0,46,2,0,0.5,0,2.17,0.26,1
430,2,0,53,0,0,9.6,2,1.96,0.54,1
431,2,0,52,2,0,7.8,7,1.52,0.29,1
432,2,0,50,2,0,1.6,7,3.7,0.26,1
433,2,0,45,0,0,7.9,7,2.33,0.28,1
434,2,0,50,2,0,3.0,7,1.6,0.26,1
436,1,0,48,2,0,2.6,2,2.41,0.42,1
437,2,0,49,2,0,8.4,2,3.66,0.26,1
438,2,0,49,2,0,1.6,2,1.09,0.36,1
439,2,0,40,2,0,6.7,0,2.98,0.26,1
440,2,0,56,1,0,6.0,4,1.81,0.22,1
801,2,0,51,5,0,4.4,4,3.19,0.22,1
806,2,0,39,5,0,3.4,4,4.25,0.22,1
807,2,0,36,5,0,9.5,4,4.13,0.22,1
808,2,0,39,5,0,5.3,4,2.4,0.22,1
809,2,0,42,5,0,9.3,4,1.37,0.22,1
810,2,0,37,5,0,2.4,4,1.3,0.22,1
811,2,0,52,5,0,4.3,4,2.39,0.26,1
812,2,0,52,5,0,6.7,4,3.33,0.22,1
813,2,0,55,5,0,7.5,4,4.89,0.26,1
814,2,0,49,5,0,2.2,4,3.45,0.22,1
815,2,0,54,5,0,7.9,4,3.39,0.22,1
816,2,0,51,5,0,1.0,4,4.55,0.22,1
817,2,0,51,5,0,2.6,4,3.97,0.22,1
818,2,0,53,5,0,4.3,4,3.22,0.22,1
819,2,0,56,5,0,7.7,4,1.77,0.22,1
820,2,0,55,5,0,1.3,4,3.97,0.26,1
822,2,0,43,5,0,3.7,4,4.33,0.22,1
823,2,0,44,5,0,6.0,4,2.77,0.22,1
824,2,0,49,5,0,3.0,4,4.23,0.22,1
825,2,0,51,5,0,0.3,4,1.32,0.26,1
826,2,0,51,5,0,0.4,4,2.44,0.26,1
827,2,0,53,5,0,1.3,4,2.55,0.26,1
828,2,0,55,5,0,7.3,4,4.73,0.26,1
830,2,0,39,5,0,0.3,4,4.34,0.22,1
831,2,0,54,5,0,5.9,4,3.67,0.22,1
832,2,0,50,5,0,9.7,4,3.02,0.26,1
833,2,0,46,5,0,6.0,4,4.07,0.22,1
835,2,0,54,5,0,2.1,4,4.72,0.26,1
836,2,0,56,5,0,2.7,4,4.94,0.22,1
837,2,0,49,5,0,2.4,4,1.97,0.26,1
838,2,0,55,5,0,3.1,4,2.67,0.22,1
839,2,0,50,5,0,9.0,4,2.92,0.22,1
840,2,0,54,5,0,7.6,4,3.8,0.22,1
841,2,0,53,5,0,2.5,4,1.16,0.22,1
842,2,0,50,5,0,9.4,4,2.18,0.26,1
843,2,0,50,5,0,7.5,4,4.68,0.26,1
844,2,0,44,5,0,0.7,4,4.17,0.26,1
845,2,0,42,5,0,6.7,4,2.7,0.26,1
846,2,0,51,5,0,7.5,4,4.33,0.22,1
847,2,0,54,5,0,3.3,4,3.11,0.22,1
848,2,0,51,5,0,8.5,4,4.94,0.22,1
849,2,0,54,5,0,6.4,4,2.58,0.22,1
850,2,0,59,5,0,0.4,4,2.7,0.22,1
851,2,0,37,5,0,6.7,4,2.39,0.26,1
852,2,0,57,5,0,8.8,4,2.03,0.22,1
853,2,0,55,5,0,9.9,4,3.92,0.22,1
854,2,0,57,5,0,0.0,4,2.95,0.22,1
855,2,0,55,5,0,2.9,4,1.45,0.22,1
856,2,0,53,5,0,2.7,4,2.12,0.22,1
857,2,0,36,5,0,7.7,4,4.56,0.22,1
858,2,0,35,5,0,2.0,4,2.45,0.22,1
859,2,0,44,5,0,4.5,4,4.78,0.22,1
860,2,0,35,5,0,0.1,4,4.22,0.22,1
861,2,0,22,5,0,2.3,4,4.4,0.22,1
862,2,0,51,5,0,0.7,4,2.83,0.22,1
863,2,0,51,5,0,1.8,4,4.1,0.22,1
866,2,0,51,5,0,1.9,4,4.29,0.22,1
867,2,0,50,5,0,5.3,4,4.54,0.22,1
868,2,0,54,5,0,7.1,4,1.96,0.22,1
870,2,0,51,5,0,7.0,4,2.35,0.22,1
871,2,0,54,5,0,6.0,4,3.9,0.22,1
872,2,0,57,5,0,1.4,4,2.62,0.22,1
873,2,0,57,5,0,0.3,4,1.69,0.22,1
995,2,0,35,5,0,0.7,3,4.67,0.18,1
996,2,0,52,5,0,9.3,3,4.93,0.26,1
997,2,0,42,5,0,4.3,3,1.47,0.24,1
1001,2,0,53,5,0,6.5,3,1.4,0.25,1
1004,2,0,52,5,0,9.5,3,4.62,0.3,1
1007,2,0,48,5,0,6.3,3,1.48,0.26,1
1012,2,0,50,5,0,2.0,3,3.63,0.28,1
1018,2,0,47,5,0,6.7,2,2.97,0.26,1
1019,2,0,46,5,0,1.5,2,1.56,0.28,1
1021,2,0,44,5,0,5.7,2,3.45,0.26,1
1026,2,0,56,5,0,0.4,2,4.37,0.34,1
1028,2,0,62,5,0,4.0,2,3.54,0.34,1
1029,2,0,56,5,0,7.2,2,1.19,0.26,1
1036,2,0,59,5,0,6.6,2,4.4,0.44,1
1037,2,0,55,5,0,1.4,2,1.64,0.34,1
1042,2,0,56,5,0,2.0,2,3.24,0.34,1
1045,2,0,57,5,0,5.6,2,1.1,0.26,1
1050,2,0,56,5,0,1.6,2,1.82,0.34,1
1054,2,0,46,5,0,9.0,2,2.58,0.44,1
1056,2,0,46,5,0,6.2,2,1.79,0.26,1
1057,2,0,38,5,0,8.8,2,1.85,0.26,1
1064,2,0,51,5,0,0.7,2,2.69,0.34,1
1065,2,0,44,5,0,0.7,2,2.63,0.28,1
1073,2,0,49,5,0,0.6,2,4.75,0.36,1
1075,2,0,49,5,0,4.5,2,3.97,0.44,1
1078,2,0,65,5,0,3.2,2,2.36,0.26,1
1079,2,0,49,5,0,1.9,2,3.35,0.28,1
1081,2,0,55,5,0,3.1,2,4.17,0.34,1
1082,2,0,54,5,0,8.0,2,1.61,0.36,1
1089,2,0,53,5,0,1.4,2,4.77,0.36,1
1090,2,0,56,5,0,5.1,2,1.83,0.34,1
1095,2,0,45,5,0,4.1,2,2.8,0.28,1
1098,2,0,50,5,0,4.0,2,2.16,0.36,1
1100,2,0,53,5,0,9.7,5,4.44,0.26,1
1101,2,0,60,5,0,5.3,3,3.98,0.22,1
1103,2,0,49,5,0,8.3,2,3.06,0.22,1
1104,2,0,57,5,0,10.0,2,2.11,0.26,1
1105,2,0,52,5,0,6.2,2,4.85,0.22,1
1106,2,0,49,5,0,9.0,2,1.45,0.2,1
1108,2,0,48,5,0,9.3,2,4.36,0.3,1
1109,2,0,53,5,0,2.8,2,2.28,0.22,1
1115,2,0,53,5,0,7.2,2,3.72,0.22,1
1116,2,0,49,5,0,9.8,2,4.76,0.3,1
1117,2,0,58,5,0,0.8,2,4.83,0.26,1
1118,2,0,48,5,0,4.0,2,2.96,0.22,1
1119,1,0,73,5,0,6.5,2,3.12,0.3,1
1121,2,0,59,5,0,0.8,2,2.28,0.22,1
1122,2,0,58,5,0,1.2,2,4.63,0.2,1
1123,2,0,58,5,0,0.6,2,3.57,0.34,1
1124,2,0,54,5,0,7.0,2,2.57,0.0,1
1126,2,0,64,5,0,4.9,2,4.13,0.28,1
1127,2,0,58,5,0,2.3,2,1.66,0.3,1
1128,2,0,50,5,0,4.5,2,4.11,0.22,1
1129,2,0,58,5,0,4.9,2,3.63,0.22,1
1131,2,0,56,5,0,1.9,2,2.92,0.22,1
1132,2,0,50,5,0,4.0,2,1.82,0.23,1
1133,2,0,55,5,0,8.3,2,3.27,0.22,1
1134,2,0,50,5,0,0.3,2,1.62,0.23,1
1135,2,0,64,5,0,6.4,2,2.7,0.22,1
1136,2,0,44,5,0,0.1,2,4.86,0.26,1
1137,2,0,59,5,0,9.0,2,1.03,0.34,1
1138,2,0,67,5,0,1.0,2,2.32,0.22,1
1139,2,0,54,5,0,9.0,2,3.92,0.26,1
1140,2,0,56,5,0,0.7,2,4.92,0.3,1
1141,2,0,57,5,0,2.1,2,2.8,0.26,1
1142,2,0,60,5,0,3.3,2,1.1,0.23,1
1143,2,0,48,5,0,5.8,2,1.22,0.26,1
1144,2,0,55,5,0,6.7,2,3.63,0.34,1
1145,2,0,58,5,0,4.8,2,2.99,0.26,1
1147,2,0,48,5,0,8.2,2,2.81,0.22,1
1153,2,0,53,5,0,0.3,2,4.56,0.26,1
1155,2,0,54,5,0,7.4,2,4.89,0.26,1
1156,2,0,56,5,0,9.6,2,3.18,0.26,1
1157,2,0,59,5,0,4.8,2,2.13,0.26,1
1158,2,0,62,5,0,0.9,2,3.25,0.3,1
1159,2,0,53,5,0,9.8,2,2.29,0.34,1
1160,2,0,58,5,0,7.9,2,3.62,0.22,1
1161,2,0,60,5,0,8.1,2,2.15,0.26,1
1162,2,0,49,5,0,4.4,2,4.39,0.3,1
1163,2,0,55,5,0,4.9,2,2.51,0.26,1
1164,2,0,44,5,0,1.9,2,3.6,0.26,1
1165,2,0,57,5,0,7.2,2,4.82,0.26,1
1166,2,0,57,5,0,3.2,2,1.68,0.34,1
1167,2,0,49,5,0,1.9,2,1.11,0.26,1
1168,2,0,64,5,0,5.3,2,2.0,0.22,1
1169,2,0,58,5,0,4.6,2,2.45,0.26,1
1170,2,0,54,5,0,1.7,2,4.63,0.26,1
1171,2,0,48,5,0,6.0,2,2.15,0.38,1
1173,2,0,58,5,0,9.2,2,2.26,0.26,1
1174,2,0,34,5,0,4.3,2,2.35,0.38,1
1175,2,0,54,5,0,8.6,2,4.66,0.34,1
1176,2,0,49,5,0,4.9,2,2.96,0.38,1
1177,2,0,63,5,0,1.9,2,3.16,0.22,1
1178,2,0,54,5,0,8.5,2,4.97,0.2,1
1179,2,0,54,5,0,4.5,2,3.47,0.3,1
